vertex,processor_dyn,duration_dyn,duration_stat,start_time_dyn,start_time_stat
trim_galore_00000984,31,8887618.95,8887618.949999988,0.0,312781478.30069
get_software_versions_00000862,12,974.933333333333,974.9333329200745,0.0,628870174.393887
get_software_versions_00000754,1,1462.4,1462.3999999761581,0.0,642568660.958713
trim_galore_00000972,34,8887618.95,8887618.949999988,182.8,281503330.470621
fastqc_00000824,19,2916333.1666666633,2916333.16666667,487.466666666667,5832666.33333333
get_software_versions_00000706,13,974.9333333333369,974.9333330392838,974.933333333333,647439896.204793
get_software_versions_00000574,0,1462.4,1462.3999999761581,1462.4,642565736.313993
output_documentation_00000475,13,974.9333333333398,974.9333330392838,3899.73333333333,647447695.671459
output_documentation_00000367,16,974.9333333333298,974.9333330392838,5849.6,647443796.403965
get_software_versions_00000250,0,1462.3999999999996,1462.3999999761581,8774.4,628875447.13986
output_documentation_00000259,1,1462.3999999999996,1462.3999999761581,8774.4,647444285.384645
output_documentation_00000091,3,1462.3999999999996,1462.3999999761581,16086.4,647441360.274086
get_software_versions_00000046,2,1462.4000000000015,1462.4000000953674,17548.8,642543800.003434
trim_galore_00000936,30,8887618.95,8887618.949999996,1093807.7375,62556295.660138
fastqc_00000068,18,2916333.1666666707,2916333.1666666605,5834128.73333333,2916333.16666667
trim_galore_00000804,33,8887618.949999996,8887618.949999988,63649920.597638,344059626.130759
trim_galore_00000792,30,8887618.949999996,8887618.949999988,63650103.397638,281503330.470621
trim_galore_00000780,35,8887618.949999899,8887618.949999988,93834443.4902071,125112591.320276
trim_galore_00000672,32,8887618.950000003,8887618.949999988,125112774.120276,312781478.30069
trim_galore_00000660,33,8887618.950000003,8887618.949999988,126206216.257776,281503330.470621
trim_galore_00000336,31,8887618.949999988,8887618.95,281503330.470621,31278147.830069
bismark_align_00000891,31,6187713.025000036,6187713.024999976,444081782.645966,600174061.883351
bismark_align_00000759,31,6187713.024999976,7599914.4115229845,450269495.670966,415503540.740897
bismark_report_00000870,6,877.7250000238419,877.7249999046326,450279813.531167,647436952.103108
bismark_align_00000687,31,6187713.024999976,6187713.025000095,456457208.695966,577690433.091098
bismark_deduplicate_00000777,9,182.80000001192093,182.80000007152557,456457209.096344,628845404.566819
bismark_summary_00000818,11,182.80000001192093,182.80000007152557,456467523.040154,651337039.039351
bismark_deduplicate_00000693,11,182.80000001192093,182.79999995231628,462644922.121344,628845587.05626
bismark_methXtract_00000700,11,7639.925000011921,7639.925000071526,462645287.721344,628845769.85626
bismark_align_00000567,30,6187713.024999976,6187713.025000036,467319636.470649,465272289.129837
bismark_deduplicate_00000669,11,182.80000001192093,182.80000007152557,467319636.871027,557494589.403026
multiqc_00000665,8,182.80000001192093,182.79999995231628,467328341.194923,651337222.305189
bismark_deduplicate_00000657,11,182.80000001192093,182.80000007152557,469926260.083844,538910888.931971
bismark_deduplicate_00000633,11,182.80000001192093,182.79999995231628,472753307.663596,512527331.818521
multiqc_00000641,10,182.80000001192093,182.80000007152557,472761832.408929,651337221.99463
bismark_align_00000507,33,6187713.025000036,6187713.024999976,476113972.708466,443078797.260725
bismark_deduplicate_00000585,11,182.80000001192093,182.79999899864197,476113973.108844,624945475.779783
bismark_deduplicate_00000561,11,182.80000001192093,182.80000007152557,478940837.888596,615156294.346545
bismark_align_00000471,31,6187713.024999976,7599917.705088973,481208060.795966,430703371.210725
bismark_deduplicate_00000477,11,182.80000001192093,182.80000096559525,487395774.221344,438303289.316191
bismark_deduplicate_00000213,11,182.79999995231628,182.80000007152557,504445915.021027,606361775.308728
multiqc_00000209,10,182.80000001192093,182.80000007152557,504454619.344922,651337770.39463
qualimap_00000217,10,2488.824999988079,2488.8249999284744,507052721.55857,628860867.061539
bismark_deduplicate_00000201,11,182.80000001192093,182.79999995231628,509879403.013596,620050885.063164
multiqc_00000185,6,182.80000001192093,182.79999995231628,512155333.866676,651337771.015748
multiqc_00000089,9,182.80000001192093,182.80000007152557,516076003.162493,651337222.14991
qualimap_00000097,11,2488.824999988079,2488.8249999284744,518334705.282221,628860876.25626
